language,word_form,lwt_code,lwt_label,word_meaning_relation
Dutch,bril,23.24,the spectacles/glasses,NA
Dutch,broek,6.48,the trousers,NA
Dutch,broer,2.44,the brother,NA
Dutch,broer,2.444,the older brother,Super-counterpart
Dutch,broer,2.445,the younger brother,Super-counterpart
Dutch,broer,2.456,the sibling,NA
Dutch,broer,2.4561,the older sibling,Sub-counterpart
Dutch,broer,2.4562,the younger sibling,Sub-counterpart
Dutch,bron,1.37,the spring or well,NA
Dutch,brood,5.51,the bread,NA
Dutch,brug,10.74,the bridge,NA
Dutch,bruiloft,2.34,the wedding,NA
Dutch,buffel,3.917,the buffalo,NA
Dutch,buigen,9.14,to bend,NA
Dutch,buik,4.431,the belly,NA
Dutch,buit,20.48,the booty,NA
Dutch,buiten,12.06,outside,NA
Dutch,burger,19.37,the citizen,NA
Dutch,bus,23.15,the bus,NA
Dutch,buur,19.54,the neighbour,NA
Dutch,cassave,8.92,the cassava/manioc,NA
Dutch,ceintuur,6.57,the belt,NA
Dutch,cirkel,12.82,the circle,NA
Dutch,citrusvrucht,8.83,the citrus fruit,NA
Dutch,coyote,3.862,the coyote,NA
Dutch,daar,24.1,there,NA
Dutch,dag,14.41,the day(1),NA
Dutch,dag,14.411,the day(2),NA
Dutch,dageraad,14.43,the dawn,NA
Dutch,dak,7.51,the roof,NA
Dutch,dakspar,7.54,the rafter,NA
Dutch,dal,1.24,the valley,Exact counterpart
Dutch,dansen,10.44,to dance,NA
Dutch,dapper,16.52,brave,NA
Dutch,dauw,1.64,the dew,NA
Dutch,deeg,5.53,the dough,NA
Dutch,deel,13.23,the part,NA
Dutch,deken,7.422,the blanket,NA
Dutch,delen,11.91,to share,NA
Dutch,demon,22.35,the demon,NA
Dutch,den,8.64,the pine,NA
Dutch,denken,17.13,to think(1),NA
Dutch,dennenappel,8.996,the cone,NA
Dutch,derde,13.42,third,NA
Dutch,deur,7.22,the door or gate,NA
Dutch,deurpost,7.221,the doorpost,NA
Dutch,deze,24.07,this,NA
Dutch,dezelfde,24.13,same,NA
Dutch,dichtbij,12.43,near,NA
Dutch,dichter,18.67,the poet,NA
Dutch,die,24.08,that,NA
Dutch,dief,21.52,the thief,NA
Dutch,diep,12.67,deep,NA
Dutch,dier,3.11,the animal,NA
Dutch,dij,4.351,the thigh,NA
Dutch,dik,12.63,thick,NA
Dutch,diner,5.44,the dinner,NA
Dutch,ding,11.18,the thing,NA
Dutch,dinsdag,14.64,Tuesday,NA
Dutch,direct,14.19,immediately,NA
Dutch,dissel,9.251,the adze,NA
Dutch,dochter,2.42,the daughter,NA
Dutch,doden,4.76,to kill,NA
Dutch,doen,9.11,to do,NA
Dutch,dokter,4.87,the physician,NA
Dutch,dolfijn,3.662,the porpoise or dolphin,NA
Dutch,dom,17.22,stupid,NA
Dutch,donder,1.56,the thunder,NA
Dutch,donderdag,14.66,Thursday,NA
Dutch,donker,15.63,dark,NA
Dutch,dood,4.7501,dead,NA
Dutch,doof,4.95,deaf,NA
Dutch,dooier,5.971,the yolk,NA
Dutch,door,24.05,through,NA
Dutch,doorslikken,5.181,to swallow,NA
Dutch,doorsnijden,9.22,to cut,NA
Dutch,dorp,19.16,the village,NA
Dutch,dorsen,8.34,to thresh,NA
Dutch,dorst hebben,5.15,to be thirsty,NA
Dutch,dorsvloer,8.35,the threshing-floor,NA
Dutch,doven,1.861,to extinguish,NA
Dutch,draad,6.38,the thread,NA
Dutch,draagband,9.92,the tumpline,NA
Dutch,draaien,10.17,to twist,NA
Dutch,draaikolk,1.362,the whirlpool,NA
Dutch,dragen,10.61,to carry,NA
Dutch,dragen,10.612,to carry in hand,Sub-counterpart
Dutch,dragen,10.613,to carry on shoulder,Sub-counterpart
Dutch,dragen,10.614,to carry on head,Sub-counterpart
Dutch,dragen,10.615,to carry under the arm,Sub-counterpart
Dutch,drank,5.9,the drink,NA
Dutch,dreigen,18.44,to threaten,NA
Dutch,drie,13.03,three,NA
Dutch,driemaal,13.44,three times,NA
Dutch,drijven,10.34,to float,NA
Dutch,drinken,5.13,to drink,NA
Dutch,dromen,4.62,to dream,NA
Dutch,dronken,4.98,drunk,NA
Dutch,droog,15.84,dry,NA
Dutch,druif,5.76,the grape,NA
Dutch,drukken,9.342,to press,NA
Dutch,druppelen,10.24,to drip,NA
Dutch,duidelijk,17.34,clear,NA
Dutch,duif,3.594,the dove,NA
Dutch,duiken,10.351,to dive,NA
Dutch,duim,4.342,the thumb,NA
Dutch,duisternis,1.62,the darkness,NA
Dutch,duizend,13.106,a thousand,NA
Dutch,duizendpoot,3.814,the centipede,NA
Dutch,dun,12.65,thin,NA
Dutch,duren,14.252,to last,NA
Dutch,durven,16.51,to dare,NA
Dutch,duur,11.88,expensive,NA
Dutch,duwen,10.67,to push,NA
Dutch,eb,1.353,the low tide,NA
Dutch,echtgenoot,2.31,the husband,NA
Dutch,echtgenote,2.32,the wife,NA
Dutch,edele,19.36,the noble,NA
Dutch,eed,21.25,the oath,NA
Dutch,eekhoorn,3.869,the squirrel,NA
Dutch,een,13.01,one,NA
Dutch,een scheet laten,4.64,to fart,NA
Dutch,eend,3.57,the duck,NA
Dutch,eergisteren,14.491,the day before yesterday,NA
Dutch,eerste,13.34,first,NA
Dutch,ei,5.97,the egg,NA
Dutch,eik,8.61,the oak,NA
Dutch,eikel,8.66,the acorn,NA
Dutch,eiland,1.25,the island,NA
Dutch,einde,12.35,the end(1),NA
Dutch,einde,14.26,the end(2),NA
Dutch,eland,3.872,the elk/moose,NA
Dutch,elektriciteit,23.17,the electricity,NA
Dutch,elf (1),13.101,eleven,NA
Dutch,elf (2),22.44,the fairy or elf,NA
Dutch,elleboog,4.32,the elbow,NA
Dutch,els,6.37,the awl,NA
Dutch,en,17.51,and,NA
Dutch,enige,13.33,only,NA
Dutch,enkel,4.371,the ankle,NA
Dutch,enkele,13.181,some,NA
Dutch,eten,5.11,to eat,NA
Dutch,etter,4.857,the pus,NA
Dutch,ezel,3.46,the donkey,NA
Dutch,familie,2.81,the relatives,NA
Dutch,fee,22.44,the fairy or elf,NA
Dutch,fiets,23.13,the bicycle,NA
Dutch,fijnmalen,5.56,to crush or to grind,NA
Dutch,film,23.62,the film/movie,NA
Dutch,fles,23.56,the bottle,NA
Dutch,fluisteren,18.15,to whisper,NA
Dutch,fluit,18.71,the flute,NA
Dutch,fluiten,18.17,to whistle,NA
Dutch,fout,16.77,the mistake,NA
Dutch,fruit,5.71,the fruit,NA
Dutch,fuik,20.55,the fish trap,NA
Dutch,gaan,10.47,to go,NA
Dutch,gaan liggen,12.14,to lie down,NA
Dutch,gans,3.56,the goose,NA
Dutch,garnaal,3.833,the prawns or shrimp,NA
Dutch,gast,19.56,the guest,NA
Dutch,gastheer,19.57,the host,NA
Dutch,gat,12.85,the hole,NA
Dutch,gauw,14.331,soon,NA
Dutch,geboortebewijs,23.36,the birth certificate,NA
Dutch,geboren worden,4.72,to be born,NA
Dutch,gedaagde,21.22,the defendant,NA
Dutch,geel,15.69,yellow,NA
Dutch,geest (1),16.11,the soul or spirit,NA
Dutch,geest (2),17.11,the mind,NA
Dutch,geeuwen,4.52,to yawn,NA
Dutch,geheim,17.36,secret,NA
Dutch,gehoorzamen,19.46,to obey,NA
Dutch,geit,3.36,the goat,NA
Dutch,geitje,3.38,the kid,NA
Dutch,gek,17.23,mad,NA
Dutch,gekookt,5.121,cooked,NA
Dutch,geld,11.43,the money,NA
Dutch,gelijk,12.92,similar,NA
Dutch,geloven,17.15,to believe,NA
Dutch,geluid,15.44,the sound or noise,NA
Dutch,geluk,16.18,the good luck,NA
Dutch,gelukkig,16.23,happy,NA
Dutch,gemakkelijk,17.46,easy,NA
Dutch,genezen,4.86,to cure,NA
Dutch,genoeg,13.18,enough,NA
Dutch,gereed,14.29,ready,NA
Dutch,gereedschap,9.422,the tool,NA
Dutch,gerimpeld,15.89,wrinkled,NA
Dutch,gerst,8.44,the barley,NA
Dutch,geslacht,19.23,the clan,NA
Dutch,getal,23.39,the number,NA
Dutch,getij(de),1.352,the tide,NA
Dutch,getrouwde man,2.38,the married man,NA
Dutch,getrouwde vrouw,2.39,the married woman,NA
Dutch,getuige,21.23,the witness,NA
Dutch,gevaar,16.54,the danger,NA
Dutch,gevangene,20.47,the captive or prisoner,NA
Dutch,gevangenis,21.39,the prison,NA
Dutch,gevecht,20.13,the war or battle,NA
Dutch,geven,11.21,to give,NA
Dutch,gevorkte tak,8.74,the forked branch,NA
Dutch,geweer,20.28,the gun,NA
Dutch,gewoonte,19.61,the custom,NA
Dutch,gezicht,4.204,the face,NA
Dutch,gezin,2.82,the family,NA
Dutch,gezond,4.83,healthy,NA
Dutch,gier,3.586,the vulture,NA
Dutch,gierig,11.54,stingy,NA
Dutch,gierst,8.911,the millet or sorghum,NA
Dutch,gieten,9.63,to cast,NA
Dutch,gif,4.89,the poison,NA
Dutch,gissen,17.171,to guess,NA
Dutch,gisteren,14.49,yesterday,NA
Dutch,glad,15.77,smooth,NA
Dutch,glas,9.74,the glass,NA
Dutch,glijden,10.42,to slide or slip,NA
Dutch,glimlachen,16.251,to smile,NA
Dutch,glimworm,3.91,the firefly,NA
Dutch,god,22.12,the god,NA
Dutch,godsdienst,22.11,the religion,NA
Dutch,goed,16.71,good,NA
Dutch,goedkoop,11.89,cheap,NA
Dutch,golf,1.35,the wave,NA
Dutch,gooien,10.25,to throw,NA
Dutch,gootsteen,23.51,the sink,NA
Dutch,gordel,6.57,the belt,NA
Dutch,goud,9.64,the gold,NA
Dutch,graafstok,8.28,the digging stick (=yamstick),NA
Dutch,graan,8.42,the grain,NA
Dutch,graf,4.79,the grave,NA
Dutch,gras,8.51,the grass,NA
Dutch,grasrokje,6.461,the grass-skirt,NA
Dutch,graven,8.22,to dig,NA
Dutch,grens,19.17,the boundary,NA
Dutch,groeien,12.53,to grow,NA
Dutch,groen,15.68,green,NA
Dutch,groente,5.65,the vegetables,NA
Dutch,groot,12.55,big,NA
Dutch,groot,12.58,tall,NA
Dutch,grootmoeder,2.47,the grandmother,NA
Dutch,grootouders,2.4711,the grandparents,NA
Dutch,grootvader,2.46,the grandfather,NA
Dutch,grot,1.28,the cave,NA
Dutch,gulzig,16.83,greedy,NA
Dutch,haai,3.661,the shark,NA
Dutch,haak,12.75,the hook,NA
Dutch,haan,3.52,the cock/rooster,NA
Dutch,haar,4.14,the hair,NA
Dutch,haard,7.31,the fireplace,NA
Dutch,haas,3.863,the hare,NA
Dutch,hagedis,3.96,the lizard,NA
Dutch,hakken,9.222,to chop,NA
Dutch,hals,4.28,the neck,NA
Dutch,hamer,9.49,the hammer,NA
Dutch,hand,4.33,the hand,NA
Dutch,handdoek,6.82,the towel,NA
Dutch,handelaar,11.84,the merchant,NA
Dutch,handelen,11.83,to trade or barter,NA
Dutch,handschoen,6.58,the glove,NA
Dutch,hangmat,7.66,the hammock,NA
Dutch,hangslot,7.232,the padlock,NA
Dutch,hard,15.74,hard,NA
Dutch,haring,9.91,the peg,NA
Dutch,hark,8.27,the rake,NA
Dutch,harnas,20.31,the armour,NA
Dutch,hart,4.44,the heart,NA
Dutch,haten,16.41,to hate,NA
Dutch,haven,10.91,the port,NA
Dutch,haver,8.46,the oats,NA
Dutch,havik,3.585,the hawk,NA
Dutch,hebben,11.11,to have,NA
Dutch,heersen,19.31,to rule or govern,NA
Dutch,heet,15.85,hot,NA
Dutch,heilig,22.19,holy,NA
Dutch,hek,8.16,the fence,NA
Dutch,heks,22.43,the sorcerer or witch,NA
Dutch,hel (1),15.57,bright,NA
Dutch,hel (2),22.32,the hell,NA
Dutch,helder,15.57,bright,NA
Dutch,helft,13.24,the half,NA
Dutch,helm,20.33,the helmet,NA
Dutch,helpen,19.58,to help,NA
Dutch,hemd,6.44,the shirt,NA
Dutch,hemel,1.51,the sky,NA
Dutch,hemel,22.31,the heaven,NA
Dutch,hen,3.54,the hen,NA
Dutch,hengst,3.42,the stallion,NA
Dutch,herder,3.18,the herdsman,NA
Dutch,herfst,14.77,the autumn/fall,NA
Dutch,hersenen,4.203,the brain,NA
Dutch,hert,3.75,the deer,NA
Dutch,het,2.93,he/she/it,Para-counterpart
Dutch,het,2.933,it,NA
Dutch,heup,4.463,the hip,NA
Dutch,heuvel,1.22,the mountain or hill,Sub-counterpart
Dutch,hiel,4.372,the heel,NA
Dutch,hier,24.09,here,NA
Dutch,hij,2.93,he/she/it,Para-counterpart
Dutch,hij,2.931,he,NA
Dutch,hikken,4.521,to hiccough,NA
Dutch,hinderlaag,20.49,the ambush,NA
Dutch,hinken,10.451,to limp,NA
Dutch,hoe,17.61,how?,NA
Dutch,hoed,6.55,the hat or cap,Para-counterpart
Dutch,hoek,12.76,the corner,NA
Dutch,hoer,19.72,the prostitute,NA
Dutch,hoesten,4.53,to cough,NA
Dutch,hoeveel,17.62,how many?,NA
Dutch,hoeveel,17.63,how much?,NA
Dutch,hof,7.15,the yard or court,NA
Dutch,hond,3.61,the dog,NA
Dutch,honderd,13.105,a hundred,NA
Dutch,honger hebben,5.14,to be hungry,NA
Dutch,hongersnood,5.141,the famine,NA
Dutch,honing,3.821,the beeswax,NA
Dutch,honing,5.84,the honey,NA
Dutch,hoofd,4.2,the head,NA
Dutch,hoofdband,6.78,the headband or headdress,NA
Dutch,hoofdluis,3.811,the head louse,NA
Dutch,hoog,12.31,high,NA
Dutch,hoog,12.58,tall,NA
Dutch,hooi,8.52,the hay,NA
Dutch,hoorn (1),4.17,the horn,NA
Dutch,hoorn (2),18.73,the horn or trumpet,NA
Dutch,hopen,16.63,to hope,NA
Dutch,horen,15.41,to hear,NA
Dutch,houden,11.17,to keep,NA
Dutch,houden van,16.27,to love,NA
Dutch,hout,1.43,the wood,NA
Dutch,houtskool,1.89,the charcoal,NA
Dutch,huid,4.12,the skin or hide,NA
Dutch,huilen,16.37,to cry,NA
Dutch,huilen,18.19,to howl,NA
Dutch,huis,7.12,the house,NA
Dutch,hurken,10.413,to crouch,NA
Dutch,hut,7.13,the hut,NA
Dutch,idee,17.19,the idea,NA
Dutch,ijs,1.77,the ice,NA
Dutch,ijzer,9.67,the iron,NA
Dutch,ik,2.91,I,NA
Dutch,imiteren,17.172,to imitate,NA
Dutch,in,12.012,inside,NA
Dutch,in,12.013,in,NA
Dutch,in,12.05,at,NA
Dutch,in dienst nemen,11.77,to hire,NA
Dutch,indien,17.53,if,NA
Dutch,ingewanden,4.461,the intestines or guts,NA
Dutch,initiatieplechtigheid,22.51,the initiation ceremony,NA
Dutch,injectie,23.23,the injection,NA
Dutch,insect,3.81,the insect,NA
Dutch,inwijdingsplechtigheid,22.51,the initiation ceremony,NA
Dutch,ja,17.55,yes,NA
Dutch,jaar,14.73,the year,NA
Dutch,jagen,20.61,to hunt,NA
Dutch,jaguar,3.9,the jaguar,NA
Dutch,jaloezie,16.44,the envy or jealousy,NA
Dutch,jas,6.41,the cloak,NA
Dutch,jas,6.43,the coat,NA
Dutch,jeuk,4.854,the itch,NA
Dutch,jij,2.92,you (singular),NA
Dutch,jong,14.14,young,NA
Dutch,jongeman,2.251,the young man,NA
Dutch,jongen,2.25,the boy,NA
Dutch,juist,16.73,right(2),NA
Dutch,juk,10.78,the yoke,NA
Dutch,jullie,2.95,you (plural),NA
Dutch,jurk,6.42,the (woman's) dress,NA
Dutch,juweel,6.72,the jewel,NA
Dutch,kaak,4.207,the jaw,NA
Dutch,kaal,4.93,bald,NA
Dutch,kaap,1.343,the cape,NA
Dutch,kaars,7.46,the candle,NA
Dutch,kaas,5.88,the cheese,NA
Dutch,kachel,7.32,the stove,NA
Dutch,kadaver,4.771,the carcass,NA
Dutch,kakkerlak,3.816,the cockroach,NA
Dutch,kalebas,8.93,the gourd,NA
Dutch,kalender,23.61,the calendar,NA
Dutch,kalf,3.24,the calf,NA
Dutch,kalm,1.322,calm,NA
Dutch,kam,6.91,the comb,NA
Dutch,kameel,3.78,the camel,NA
Dutch,kameleon,3.913,the chameleon,NA
Dutch,kamer,7.21,the room,NA
Dutch,kamp,7.65,the camp,NA
Dutch,kangoeroe,3.88,the kangaroo,NA
Dutch,kano,10.831,the canoe,NA
Dutch,kant,12.353,the edge,NA
Dutch,kant,12.36,the side,NA
Dutch,kapot,9.261,broken,NA
Dutch,kar,10.75,the cart or wagon,NA
Dutch,kariboe,3.871,the reindeer/caribou,Para-counterpart
Dutch,kat,3.62,the cat,NA
Dutch,katapult,20.23,the sling,NA
Dutch,katoen,6.24,the cotton,NA
Dutch,kauwen,5.18,to chew,NA
Dutch,keel,4.29,the throat,NA
Dutch,kerk,22.131,the church,NA
Dutch,kerven,9.81,to carve,NA
Dutch,ketel,5.27,the kettle,NA
Dutch,keten,9.18,the chain,NA
Dutch,ketting,6.75,the necklace,NA
Dutch,ketting,9.18,the chain,NA
Dutch,keuken,7.17,the cookhouse,NA
Dutch,kies,4.272,the molar tooth,NA
Dutch,kieuw,3.654,the gill,NA
Dutch,kiezen,16.622,to choose,NA
Dutch,kijken,15.52,to look,NA
Dutch,kikker,3.95,the frog,NA
Dutch,kin,4.209,the chin,NA
Dutch,kind,2.27,the child(1),NA
Dutch,kind,2.43,the child(2),NA
Dutch,kip,3.5,the fowl,Sub-counterpart
Dutch,klaar,14.29,ready,NA
Dutch,klauw,4.345,the claw,NA
Dutch,kleding,6.12,the clothing or clothes,NA
Dutch,kleermaker,6.13,the tailor,NA
Dutch,klei,9.73,the clay,NA
Dutch,klein,12.56,small,NA
Dutch,kleindochter,2.49,the granddaughter,NA
Dutch,kleinkind,2.5,the grandchild,NA
Dutch,kleinzoon,2.48,the grandson,NA
Dutch,kleren,6.12,the clothing or clothes,NA
Dutch,kleur,15.61,the colour/color,NA
Dutch,klif,1.222,the cliff or precipice,NA
Dutch,klimmen,10.472,to climb,NA
Dutch,klink,7.231,the latch or door-bolt,NA
Dutch,klok,14.53,the clock,NA
Dutch,kneden,5.54,to knead,NA
Dutch,kneuzing,4.852,the bruise,NA
Dutch,knie,4.36,the knee,NA
Dutch,knielen,10.412,to kneel,NA
Dutch,knijpen,15.712,to pinch,NA
Dutch,knipperen,4.215,to blink,NA
Dutch,knoop,6.62,the button,NA
Dutch,knoop,9.192,the knot,NA
Dutch,knuppel,20.22,the club,NA
Dutch,koe,3.23,the cow,NA
Dutch,koelte toewaaien,9.791,to fan,NA
Dutch,koffie,23.91,the coffee,NA
Dutch,koken,5.21,to cook,NA
Dutch,koken,5.22,to boil,NA
Dutch,kokosnoot,8.82,the coconut,NA
Dutch,kom,5.33,the bowl,NA
Dutch,komen,10.48,to come,NA
Dutch,konijn,3.614,the rabbit,NA
Dutch,koning,19.32,the king,NA
Dutch,koningin,19.33,the queen,NA
Dutch,koorts,4.841,the fever,NA
Dutch,kop,5.35,the cup,NA
Dutch,kopen,11.81,to buy,NA
Dutch,koper,9.66,the copper,NA
Dutch,kort,12.59,short,NA
Dutch,koud,15.86,cold,NA
Dutch,kous,6.49,the sock or stocking,Para-counterpart
Dutch,kraag,6.45,the collar,NA
Dutch,kraai,3.593,the crow,NA
Dutch,kraal,6.76,the bead,NA
Dutch,kraan,23.5,the tap/faucet,NA
Dutch,krabben,4.8541,to scratch,NA
Dutch,krant,23.6,the newspaper,NA
Dutch,kreunen,16.39,to groan,NA
Dutch,krijgen,11.16,to get,NA
Dutch,krijsen,18.18,to shriek,NA
Dutch,krokodil,3.97,the crocodile or alligator,NA
Dutch,krom,12.74,crooked,NA
Dutch,krop,4.842,the goitre/goiter,NA
Dutch,kruik,5.34,the jug/pitcher,NA
Dutch,kruipen,10.41,to crawl,NA
Dutch,kruis,12.77,the cross,NA
Dutch,kuiken,3.55,the chicken,NA
Dutch,kuit,4.352,the calf of the leg,NA
Dutch,kussen (1),7.421,the pillow,NA
Dutch,kussen (2),16.29,to kiss,NA
Dutch,kwartel,3.865,the quail,NA
Dutch,kwijlen,4.591,to dribble,NA
Dutch,laag,12.32,low,NA
Dutch,laars,6.52,the boot,NA
Dutch,laat,14.17,late,NA
Dutch,laat zijn,14.24,to be late,NA
Dutch,laatste,13.35,last,NA
Dutch,lachen,16.25,to laugh,NA
Dutch,ladder,7.37,the ladder,NA
Dutch,lagune,1.341,the lagoon,NA
Dutch,lam (1),3.29,the lamb,NA
Dutch,lam (2),4.94,lame,NA
Dutch,lamp,7.45,the lamp or torch,NA
Dutch,land,1.21,the land,NA
Dutch,land,19.11,the country,NA
Dutch,lang,12.57,long,NA
Dutch,lang,14.332,for a long time,NA
Dutch,langzaam,14.22,slow,NA
Dutch,lariks,8.991,the larch,NA
Dutch,lasso,8.29,the lasso,NA
Dutch,laten vallen,10.16,to drop,NA
Dutch,leeftijd,14.12,the age,NA
Dutch,leeg,13.22,empty,NA
Dutch,leer,6.29,the leather,NA
Dutch,leerling,17.26,the pupil,NA
Dutch,leeuw,3.72,the lion,NA
Dutch,leger,20.15,the army,NA
Dutch,leggen,12.12,to put,NA
Dutch,leiden,10.64,to lead,NA
Dutch,leider,19.24,the chieftain,NA
Dutch,lelijk,16.82,ugly,NA
Dutch,lemen baksteen,7.64,the adobe,NA
Dutch,lenen,11.61,to lend,NA
Dutch,lenen,11.62,to borrow,NA
Dutch,lente,14.75,the spring(2),NA
Dutch,lepel,5.37,the spoon,NA
Dutch,leraar,17.27,the teacher,NA
Dutch,leren,17.24,to learn,NA
Dutch,leven (1),4.74,to be alive,NA
Dutch,leven (2),4.741,the life,NA
Dutch,lever,4.45,the liver,NA
Dutch,lezen,18.52,to read,NA
Dutch,lichaam,4.11,the body,NA
Dutch,lichaamshaar,4.144,the body hair,NA
Dutch,licht (1),1.61,the light,NA
Dutch,licht (2),15.62,light(2),NA
Dutch,licht (3),15.82,light(1),NA
Dutch,lied,23.64,the song,NA
Dutch,liegen,16.67,to lie(2),NA
Dutch,lijk,4.77,the corpse,NA
Dutch,lijken,17.18,to seem,NA
Dutch,lijm,9.56,the glue,NA
Dutch,lijn,12.84,the line,NA
Dutch,likken,4.59,to lick,NA
Dutch,links,12.42,left,NA
Dutch,linnen,6.23,the linen,NA
Dutch,lip,4.25,the lip,NA
Dutch,litteken,4.858,the scar,NA
Dutch,lof,16.79,the praise,NA
Dutch,long,4.441,the lung,NA
Dutch,lood,9.68,the lead,NA
Dutch,looien,7.67,to tan,NA
Dutch,loon,11.78,the wages,NA
Dutch,lopen,10.45,to walk,NA
Dutch,loslaten,11.34,to let go,NA
Dutch,losmaken,9.161,to untie,NA
Dutch,lucht,1.71,the air,NA
Dutch,lucifer,1.87,the match,NA
Dutch,lui,4.92,lazy,NA
Dutch,luid,15.45,loud,NA
Dutch,luis,3.811,the head louse,NA
Dutch,luis,3.8112,the body louse,NA
Dutch,luisteren,15.42,to listen,NA
Dutch,lunch,5.43,the lunch,NA
Dutch,maag,4.46,the stomach,NA
Dutch,maaien,8.32,to mow,NA
Dutch,maaltijd,5.41,the meal,NA
Dutch,maan,1.53,the moon,NA
Dutch,maand,14.71,the month,NA
Dutch,maandag,14.63,Monday,NA
Dutch,machine,23.19,the machine,NA
Dutch,maïs,8.47,the maize/corn,NA
Dutch,maken,9.111,to make,NA
Dutch,malen,5.56,to crush or to grind,NA
Dutch,man (1),2.21,the man,NA
Dutch,man (1),2.461,the old man,Super-counterpart
Dutch,man (2),2.31,the husband,NA
Dutch,mand,9.76,the basket,NA
Dutch,manier,17.49,the manner,NA
Dutch,maniok,8.92,the cassava/manioc,NA
Dutch,maniokbrood,5.983,the manioc bread,NA
Dutch,mannelijk,2.23,male(1),NA
Dutch,mannenhuis,7.16,the men's house,NA
Dutch,mannetjes-,3.12,male(2),NA
Dutch,mantel,6.41,the cloak,NA
Dutch,markt,11.85,the market,NA
Dutch,mast,10.87,the mast,NA
Dutch,mat,9.77,the mat,NA
Dutch,matras,23.53,the mattress,NA
Dutch,mede,5.91,the mead,NA
Dutch,medelijden,16.35,the pity,NA
Dutch,medicijn,4.88,the medicine,NA
Dutch,meel,5.55,the flour,NA
Dutch,meer (1),1.33,the lake,NA
Dutch,meer (2),13.16,more,NA
Dutch,meester,19.41,the master,NA
Dutch,meeuw,3.582,the seagull,NA
Dutch,meineed,21.47,the perjury,NA
Dutch,meisje,2.26,the girl,NA
Dutch,meisje,2.261,the young woman,NA
Dutch,melk,5.86,the milk,NA
Dutch,melken,5.87,to milk,NA
Dutch,menen,17.14,to think(2),NA
Dutch,menigte,13.19,the crowd,NA
Dutch,mens,2.1,the person,NA
Dutch,merrie,3.44,the mare,NA
Dutch,mes,5.38,the knife(1),NA
Dutch,mes,9.23,the knife(2),NA
Dutch,mestvork,8.26,the fork(2)/pitchfork,NA
Dutch,met,24.04,with,NA
Dutch,meten,12.54,to measure,NA
Dutch,metselaar,7.61,the mason,NA
Dutch,middag (1),14.45,the midday,NA
Dutch,middag (2),14.451,the afternoon,NA
Dutch,middageten,5.43,the lunch,NA
Dutch,middel,4.462,the waist,NA
Dutch,midden,12.37,the middle,NA
Dutch,mier,3.817,the ant,NA
Dutch,miereneter,3.89,the anteater,NA
Dutch,milt,4.452,the spleen,NA
Dutch,minister,23.32,the minister,NA
Dutch,misdaad,23.37,the crime,NA
Dutch,missen,20.63,to miss,NA
Dutch,mist,1.74,the fog,NA
Dutch,modder,1.214,the mud,NA
Dutch,moe,4.91,tired,NA
Dutch,moeder,2.36,the mother,NA
Dutch,moeilijk,17.47,difficult,NA
Dutch,moeras,1.38,the swamp,NA
Dutch,molen,5.57,the mill,NA
Dutch,mompelen,18.16,to mumble,NA
Dutch,mond,4.24,the mouth,NA
Dutch,mooi,16.81,beautiful,NA
Dutch,moord,21.42,the murder,NA
Dutch,morgen,14.48,tomorrow,NA
Dutch,mortel,7.63,the mortar(2),NA
Dutch,moskee,22.132,the mosque,NA
Dutch,motor,23.185,the motor,NA
Dutch,motorfiets,23.135,the motorcycle,NA
Dutch,mug,3.831,the sandfly or midge or gnat,NA
Dutch,muildier,3.47,the mule,NA
Dutch,muilezel,3.47,the mule,NA
Dutch,muis,3.63,the mouse or rat,NA
Dutch,munt,11.44,the coin,NA
Dutch,muskiet,3.832,the mosquito,NA
Dutch,muts,6.55,the hat or cap,NA
Dutch,muur,7.27,the wall,NA
Dutch,muziek,23.63,the music,NA
Dutch,na,12.01,after,NA
Dutch,naaien,6.35,to sew,NA
Dutch,naakt,4.99,naked,NA
Dutch,naald,6.36,the needle(1),NA
Dutch,naald,8.993,the needle(2),NA
Dutch,naam,18.28,the name,NA
Dutch,naar beneden,12.03,down,NA
Dutch,naar beneden gaan,10.473,to go down,NA
Dutch,naar boven gaan,10.471,to go up,NA
Dutch,naar huis gaan,10.58,to go or return home,NA
Dutch,naast,12.02,beside,NA
Dutch,nacht,14.42,the night,NA
Dutch,naderen,10.56,to approach,NA
Dutch,nadoen,17.172,to imitate,NA
Dutch,nagel (1),9.5,the nail,NA
Dutch,nagel (2),4.344,the fingernail,NA
Dutch,najaar,14.77,the autumn/fall,NA
Dutch,nakomelingen,2.57,the descendants,NA
Dutch,nat,15.83,wet,NA
Dutch,nauw,12.62,narrow,NA
Dutch,navel,4.43,the navel,NA
Dutch,nazaten,2.57,the descendants,NA
Dutch,nederlaag,20.42,the defeat,NA
Dutch,nee,17.56,no,NA
Dutch,neef,2.53,the nephew,NA
Dutch,neef,2.541,the cousin,Sub-counterpart
Dutch,neef,2.55,the sibling’s child,NA
Dutch,neet,3.812,the nit,NA
Dutch,negen,13.09,nine,NA
Dutch,nek,4.281,the nape of the neck,NA
Dutch,nemen,11.13,to take,NA
Dutch,nest,3.58,the nest,NA
Dutch,netel,8.97,the nettle,NA
Dutch,nettas,9.78,the netbag,NA
Dutch,neus,4.23,the nose,NA
Dutch,neusvleugel,4.231,the nostril,NA
Dutch,nicht,2.54,the niece,NA
Dutch,nicht,2.541,the cousin,Sub-counterpart
