ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
659,REED,Any of various types of tall stiff grass-like plants growing together in groups near water.,,Agriculture and vegetation,Person/Thing,
660,REEF,"A line of rocks in the tidal zone of a coast, submerged at high water but partly uncovered at low water.",,The physical world,Person/Thing,
661,RELIGION,The expression of man's belief in and reverence for a superhuman power recognized as the creator and governor of the universe.,,Religion and belief,Person/Thing,
662,BATTERY,"A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity.",,Modern world,Person/Thing,
663,BAY,"An open, curving indentation made by the sea or a lake into a coastline.",,The physical world,Person/Thing,
664,RESIN,"Any of a class of solid or semisolid organic products of natural or synthetic origin with no definite melting point, generally of high molecular weight.",,The physical world,Person/Thing,
665,BEE,Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.,,Animals,Person/Thing,
666,RIVER,"A stream of water which flows in a channel from high ground to low ground and ultimately to a lake or the sea, except in a desert area where it may dwindle away to nothing.",,The physical world,Person/Thing,
667,ROAD,A long piece of hard ground that people can drive along from one place to another.,,Motion,Person/Thing,
668,ROCK,"Any aggregate of minerals that makes up part of the earth's crust. It may be unconsolidated, such as sand, clay, or mud, or consolidated, such as granite, limestone, or coal.",,The physical world,Person/Thing,
669,RODENT,"Any of the relatively small placental mammals that constitute the order Rodentia, having constantly growing incisor teeth specialized for gnawing.",,Animals,Person/Thing,
670,ROOT,The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.,,Agriculture and vegetation,Person/Thing,
671,SAND,"A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.",,The physical world,Person/Thing,
672,EARLY,Before the expected time or towards the beginning of a time period.,,Time,Property,
673,SCHOOL,An institution or building at which children and young people receive education.,,Cognition,Person/Thing,
674,MOUTH,Opening in the lower half of a human face which is used for food ingestion and articulation.,,The body,Person/Thing,
675,FAECES (EXCREMENT),"Substance that human and animal bodies release from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon.",,The body,Person/Thing,
676,SHIT (DEFECATE),To excrete faeces from one's body through the anus.,,The body,Action/Process,
677,AXE,"A tool for felling trees or chopping wood consisting of a heavy metallic or stone head flattened to a blade on one side, and which is attached to a usually wooden handle.",,Basic actions and technology,Person/Thing,
678,BEARD,"Facial hair of humans on the chin, cheeks and jaw.",,The body,Person/Thing,
679,BRIGHT,Emitting or reflecting light readily or in large amounts. [WN:679],,Sense perception,Property,
680,BREAK (DESTROY OR GET DESTROYED),To divide or be divided into pieces and thereby damaged.,,Basic actions and technology,Action/Process,
681,DESTROY,To damage beyond use or repair.,,Possession,Action/Process,
682,SIDE,The side of an object or person.,,Spatial relations,Person/Thing,
683,PERSON,A human being.,,Kinship,Person/Thing,
684,OWN,"To have rightful possession of property, goods or capital.",,Possession,Action/Process,
685,DECIDE,"To reach, make, or come to a decision about something.",,Cognition,Action/Process,
686,EASY,Requiring little skill or effort; posing no difficulty.,,Cognition,Property,
687,NOTHING,Not anything.,,Miscellaneous function words,Other,
688,LUNG,A biological organ that extracts oxygen from the air.,,The body,Person/Thing,
689,BETWEEN,In the position or interval that separates two things.,,Spatial relations,Other,
690,BOTTOM,The part furthest in the direction toward which an unsupported object would fall.,,The physical world,Person/Thing,
691,SEASON,"One of the four equal periods into which the year is divided by the equinoxes and solstices, resulting from the apparent movement of the sun north and south of the equator during the course of the earth's orbit around it. These periods (spring, summer, autumn and winter) have their characteristic weather conditions in different regions, and occur at opposite times of the year in the N and S hemispheres.",,Time,Person/Thing,
692,BRING,To transport toward somewhere; to take something or somebody with oneself somewhere.,,Motion,Action/Process,
693,FROM,Starting at a given point in space or time.,,Spatial relations,Other,
694,GET,To get or obtain an item; to come into the possession of something.,,Possession,Action/Process,
695,GO,To get from one place to another by any means.,,Motion,Action/Process,
696,STIR,To stir two or more substances together.,,Food and drink,Action/Process,
697,CONTAIN,To contain or hold; have within.,,Possession,Action/Process,
698,WISE,Showing good judgement or the benefit of experience.,,Cognition,Property,
699,SAD,Feeling mentally uncomfortable because something is missing or wrong.,,Emotions and values,Property,
700,CARRY,To lift and bring to somewhere else; to transport by lifting.,,Motion,Action/Process,
701,SLOW,With low speed.,,Time,Property,
702,CATCH,"To take hold of, especially in the hands, so as to seize or restrain or stop the motion of.",,Motion,Action/Process,
703,SOON,In a near future.,,Time,Other,
704,CLEAN,Not dirty.,,Sense perception,Property,
705,GO UP (ASCEND),To move from a lower to a higher position by walking or climbing.,,Motion,Action/Process,
706,DARK,Having an absolute or (more often) relative lack of light.,,Sense perception,Property,
707,REMEMBER,To recall from memory.,,Cognition,Action/Process,
708,SHINE,To emit light.,,Sense perception,Action/Process,
709,TEACH,To pass on knowledge and skills.,,Cognition,Action/Process,
710,WHEEL,A circular object that spins around a central axe thereby allowing relatively low-friction movement.,,Motion,Person/Thing,
711,TALL,Having a vertical extent greater than the average.,,Spatial relations,Property,
712,RICH,Possessing in abundance a particular trait.,,Possession,Property,
713,STEAL,"To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.",,Law,Action/Process,
714,SEED,"A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).",,Agriculture and vegetation,Person/Thing,
715,SHOUT,To say something in a loud voice.,,Speech and language,Action/Process,
716,GROAN,"To utter a low, guttural sound of frustration.",,Emotions and values,Action/Process,
717,SWEET,Having the taste characteristic of sugar or honey.,,Sense perception,Property,
718,PAY,To give money in exchange for goods or services.,,Possession,Action/Process,
719,FIND,To encounter something by accident or after searching for it.,,Possession,Action/Process,
720,GOOD LUCK,Something positive that happens to someone by chance.,,Emotions and values,Person/Thing,
721,LOW,Being in a position comparatively close to the ground.,,Spatial relations,Property,
722,ATTACK,The application of violent force to someone or something.,,Warfare and hunting,Person/Thing,
723,PLACE (POSITION),A position or area in a space.,,Spatial relations,Person/Thing,
724,READ,To look at and interpret letters or other information that is written.,,Speech and language,Action/Process,
725,OLD PERSON,An older person (usually considered to be above the age of 60).,,Kinship,Person/Thing,
726,WHILE,"A certain duration of time, a period of time.",,Time,Person/Thing,
727,WHICH,What one or ones (of those mentioned or implied).,,Cognition,Other,
728,FIRST,Having no predecessor. The ordinal number corresponding to one.,,Quantity,Other,
729,DAWN,A period of time at the beginning of the day shortly before sunrise during which the light gradually becomes stronger.,,Time,Person/Thing,
730,SNAKE,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",,Animals,Person/Thing,
731,BEVERAGE,Any one of various liquids for drinking.,,Food and drink,Person/Thing,
732,YOUR (SINGULAR),Belonging to the second person that is addressed by the first person.,,Possession,Other,
733,EARN,"To gain (success, payment) through applied effort or work.",,Possession,Action/Process,
734,MAKE,To create something by combining or assembling materials or parts or by changing it.,,Basic actions and technology,Action/Process,
735,OWL,"A solitary, mainly nocturnal bird of prey, belonging to the order Strigiformes; it has large forward-facing eyes and ears and a hawk-like beak, and it can turn its head 180 degrees around.",,Animals,Person/Thing,
736,YARD,"A small, usually uncultivated area adjoining or within the precincts of a house or other building.",,The house,Person/Thing,
737,LIGHT (IGNITE),To start a fire or light a flame.,,The physical world,Action/Process,
738,THING,"That which is considered to exist as a separate entity, quality or concept.",,Possession,Person/Thing,
739,FEED,To give food.,,Food and drink,Action/Process,
740,SHIP,"A vessel propelled by engines or sails for navigating on the water, especially a large vessel that can not be carried aboard another, as distinguished from a boat.",,Motion,Person/Thing,
741,DRIVE,To operate a vehicle.,,Motion,Action/Process,
742,END (OF SPACE),Extreme part.,,Spatial relations,Person/Thing,
743,END (OF TIME),The last or final part.,,Time,Person/Thing,
744,EGG,"Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.",,Food and drink,Person/Thing,
745,SHELF,"A flat, rigid, rectangular structure, fixed at right angles to a wall, and used to support, store or display objects.",,The house,Person/Thing,
746,SHOP,"A place, especially a small building, for the retail sale of goods and services.",,Possession,Person/Thing,
747,BICYCLE,"A vehicle with two wheels in tandem, pedals connected to the rear wheel by a chain, handlebars for steering, and a saddlelike seat.",,Modern world,Person/Thing,
748,SOW SEEDS,To scatter or disperse seeds on a field.,,Agriculture and vegetation,Action/Process,
749,ENTER,To go into.,,Motion,Action/Process,
750,DROP,The event of moving to a lower position due to the effect of gravity.,,Motion,Action/Process,
751,SHRUB,"A woody perennial plant, smaller than a tree, with several major branches arising from near the base of the main stem.",,Agriculture and vegetation,Person/Thing,
752,STORE,"An establishment, either physical or virtual, that sells goods or services to the public.",,Possession,Person/Thing,
753,PUPIL (STUDENT),A student under the supervision of a teacher or professor.,,Cognition,Person/Thing,
754,HURRY,To move or do something at a fast pace.,,Time,Action/Process,
755,DENY,To refuse strongly and solemnly to own or acknowledge.,,Speech and language,Action/Process,
756,DEPEND,To be connected with something as a cause of existence or as a necessary condition.,,Social and political relations,Action/Process,
757,BUTTON,A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.,,Clothing and grooming,Person/Thing,
758,HERON,"A long-legged, long-necked wading bird of the family Ardeidae.",,Animals,Person/Thing,
759,SILVER,A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.,,Basic actions and technology,Person/Thing,
760,KNOT,A loop of string or any other long flexible material which cannot be untied without pulling part of the string through the loops.,,Basic actions and technology,Person/Thing,
761,COVER,To place something over or upon to conceal or protect.,,Spatial relations,Action/Process,
762,OUTSIDE,"In the open, not within a building, or outside of something in general.",,Spatial relations,Other,
763,SKIN,"The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.",,The body,Person/Thing,
764,SUIT,(Of an object) To be of the right size and shape so as to match another object.,,Clothing and grooming,Action/Process,
765,MOVE,To change the location of an object.,,Motion,Action/Process,
766,MENSTRUATION,The period in the menstrual cycle when the endometrium is shed when conception did not take place.,,The body,Person/Thing,
767,CORPSE,A dead body.,,The body,Person/Thing,
768,LUNCH,Meal usually eaten at midday.,,Food and drink,Person/Thing,
769,ROOF,The structure covering a building.,,The house,Person/Thing,
770,EARRING,A piece of jewelry worn on the ear.,,Clothing and grooming,Person/Thing,
771,HAT,"An item of clothing intended to cover the head made from material hard enough to have a shape independant of the skull, and most commonly with a rim.",,Clothing and grooming,Person/Thing,
772,BELT,"A clothing accessory, usually made of leather or heavy cloth, worn around the waist and used to support trousers or other articles of clothing.",,Clothing and grooming,Person/Thing,
773,HAVE,To be in possession (of an object).,,Possession,Action/Process,
774,CABBAGE,"An edible plant, Brassica oleracea, with many varieties.",,Food and drink,Person/Thing,
775,TRUMPET,A musical instrument in the brass family.,,Speech and language,Person/Thing,
776,TRUNK OF TREE,The part of the body from the neck to the groin excluding the head and limbs.,,Agriculture and vegetation,Person/Thing,344
777,FLUTE,A musical instrument of the woodwind family.,,Speech and language,Person/Thing,
778,SMOKE (EXHAUST),"An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.",,The physical world,Person/Thing,
779,PART,A seperate unit of a larger whole.,,Quantity,Person/Thing,
780,OUR,Belonging to us; of us.,,Miscellaneous function words,Other,
781,FEAR (FRIGHT),An emotion experienced in anticipation of some specific pain or danger.,,Emotions and values,Person/Thing,
782,DEFEAT,An end to a struggle or contest that did not end in success.,,Warfare and hunting,Person/Thing,
783,VICTORY,An end to a struggle or contest that did end in success.,,Warfare and hunting,Person/Thing,
784,SNOW,"The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.",,The physical world,Person/Thing,
785,STRONG,Capable of producing great physical force.,,The body,Property,
786,SAILCLOTH,A large piece of fabric (as canvas) by means of which wind is used to propel a sailing vessel.,,Motion,Person/Thing,
787,SAIL,To traverse or travel by ship on a body of water.,,Motion,Action/Process,
788,SOAP,"A cleansing agent, manufactured in bars, granules, flakes, or liquid form, made from a mixture of the sodium salts of various fatty acids of natural oils and fats.",,Clothing and grooming,Person/Thing,
789,PEOPLE,"A group of persons forming or belonging to a particular nation, class, ethnic group, country, family, etc.",,Social and political relations,Person/Thing,
790,READY,Prepared for immediate action or use.,,Time,Property,
791,STRANGER,Someone who is not known.,,Social and political relations,Person/Thing,
792,BOIL (OF LIQUID),To be at a temperature (as a liquid) where it moves into the gaseous phase.,,Food and drink,Action/Process,
793,BOIL (OF SKIN),"A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.",,The body,Person/Thing,
794,PEN,"A utensil, usually tubular in form, containing ink used to write or make marks.",,Speech and language,Person/Thing,
795,TROUT,Fresh water salmon.,,Animals,Person/Thing,
796,NIPPLE,"The projection of a mammary gland from which, on female mammals, milk can be secreted.",,The body,Person/Thing,
797,TESTICLES,"The male sex gland that produces sperm and male hormones, found in some types of animals and humans.",,The body,Person/Thing,
798,JAW,"Either of the two opposable structures forming, or near the entrance to, the mouth.",,The body,Person/Thing,
799,WRIST,The flexible and narrower connection between the forearm and the hand.,,The body,Person/Thing,
800,THIGH,The area between the pelvis and buttocks and the knee.,,The body,Person/Thing,471
801,RIB,One of the long curved bones which form the rib cage.,,The body,Person/Thing,
802,ADAM'S APPLE,A lump at the front of the neck.,,The body,Person/Thing,
803,ANKLE,A joint formed where the foot and the leg meet.,,The body,Person/Thing,
804,WOMB,"The major female reproductive organ of most mammals, including humans. It is a large muscle enveloping the phoetus during pregnancy.",,The body,Person/Thing,
805,SPINE,"The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.",,The body,Person/Thing,
806,BLANKET,A large cloth used for warmth and for sleeping.,,The house,Person/Thing,
807,SKILLED,"Experienced and clever, professional.",,Basic actions and technology,Property,
808,DRIP (FALL IN GLOBULES),"To fall in globules or small portions, as water or other liquid.",,Motion,Action/Process,
809,TROUSERS,An item of clothing worn on the lower part of the body and covering both legs separately.,,Clothing and grooming,Person/Thing,
810,LOCUST,Migratory grasshoppers of the order Orthoptera of warm regions having short antennae.,,Animals,Person/Thing,
811,SOUL,In philosophical or religious belief the immaterial part of a human being.,,Religion and belief,Person/Thing,
812,SLAVE,"A person who is owned and forced to work, usually without pay, by another.",,Social and political relations,Person/Thing,
813,DO,To perform an action.,,Basic actions and technology,Action/Process,
814,DRESS UP,To clothe oneself; to put on clothes.,,Clothing and grooming,Action/Process,
815,GOVERNMENT,"A body that has the authority to make and the power to enforce laws within a civil, corporate, religious, academic, or other organization or group.",,Modern world,Person/Thing,
816,HALF,One of the two equal parts of a whole.,,Quantity,Person/Thing,
817,THEY,"The third person plural of the personal pronoun that designates more than one person or animal, thing or idea which have already been mentioned previously.",,Kinship,Other,
818,WILLOW,Any of various deciduous trees or shrubs in the genus Salix.,,Agriculture and vegetation,Person/Thing,
819,STOMACH,"An organ in the body, involved in digestion of food.",,The body,Person/Thing,
820,LAMB,Young sheep.,,Animals,Person/Thing,
821,POPLAR,Any of various deciduous trees of the genus Populus.,,Agriculture and vegetation,Person/Thing,
822,HOW MANY,Which quantity?,,Cognition,Other,
823,SORCERER,A male person who practices magic.,,Religion and belief,Person/Thing,
824,WITCH,A female person who practices magic.,,Religion and belief,Person/Thing,
825,AWAKE,Not sleeping.,,The body,Property,
826,BRANCH (BIFURCATION),"A separation of a river, a road, etc.",,The physical world,Person/Thing,
827,ROLL,To tip laterally.,,Motion,Action/Process,
828,RACCOON,(Procyon lotor) An omnivorous nocturnal mammal native to North America and Central America.,,Animals,Person/Thing,
829,RAFTER,"One of several parallel sloping beams that extend from the ridge to the wall-plate, to support the roof and its associated loads; the sloping top member of a roof truss, which carries the purlins.",,The house,Person/Thing,
830,SOOT,"Impure black carbon with oily compounds obtained from the incomplete combustion of resinous materials, oils, wood, or coal.",,The physical world,Person/Thing,
831,BASE,The bottom or lowest part.,,Spatial relations,Person/Thing,
832,BEAN,Any of various leguminous plants grown for their edible seeds and pods.,,Food and drink,Person/Thing,
833,ENDURE,"To allow (something that one dislikes or disagrees with) to continue to exist or occur without interference; accept or undergo, often unwillingly.",,Basic actions and technology,Action/Process,
834,BUTTOCKS,The fleshy part of the human body that one sits on.,,The body,Person/Thing,
835,CHAPTER,"A part of a book, a literary work etc. with a distinct content, set apart using typography.",,Speech and language,Person/Thing,
836,SCREWDRIVER,A hand tool used for driving screws.,,Modern world,Person/Thing,
837,BLUE,"Having the pure color of a clear sky; the primary color between green and violet in the visible spectrum, an effect of light with a wavelength between 450 and 500 nm.",,Sense perception,Property,
838,REMAINS,What remains after other things have been taken away (e.g. eaten or destroyed).,,Spatial relations,Person/Thing,
839,ERR,To make a mistake.,,Cognition,Action/Process,
840,CORMORANT,"Medium sized, black water bird from the family of the cormorants (Phalacrocoracidae), scientific name: Phalacrocorax carbo",,Animals,Person/Thing,
841,FISHING SPEAR,A spearlike weapon with a barbed head used in hunting whales and large fish.,,Warfare and hunting,Person/Thing,
842,LIQUOR,Alcoholic beverage containing more than 20 percent alcohol.,,Food and drink,Person/Thing,
843,SPIDER,"Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.",,Animals,Person/Thing,
844,KIND (THING),A category of things distinguished by a common characteristic or quality.,,Cognition,Person/Thing,
845,MURDER,The intentional or premeditated killing of another person.,,Law,Person/Thing,
846,TIGER,A large carnivorous animal (Panthera tigris) of the cat family indigenous to Asia.,,Animals,Person/Thing,
847,THIRSTY,Feeling the need to drink.,,Food and drink,Property,
848,THIRST,A physiological need to drink.,,Food and drink,Person/Thing,
849,SPRING (OF WATER),A place where ground water flows naturally from a rock or the soil onto the land surface or into a body of surface water.,,The physical world,Person/Thing,
850,SQUARE,"A geometrical figure with four sides that meet each other on right angles, or something resembling its shape.",,Spatial relations,Person/Thing,
851,STABLE,"A building or structure usually with stalls that is used to house and feed horses, cattle or other animals.",,Animals,Person/Thing,
852,PRIEST,"A minister of the Catholic church empowered to administer the sacraments, most particularly that of the Eucharist or Holy Communion, as well as those of confession and extreme unction.",,Religion and belief,Person/Thing,
853,ALTAR,Table for religious ceremonies.,,Religion and belief,Person/Thing,
854,KETTLE,A metal container used to boil any kind of liquid.,,Food and drink,Person/Thing,
855,SEIZE,To grasp and hold firmly.,,Possession,Action/Process,
856,HIRE,"To employ a person or people in exchange of some kind of remuneration, usually a payment.",,Possession,Action/Process,
857,STONE,"A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.",,The physical world,Person/Thing,
858,STORM,An atmospheric disturbance involving perturbations of the prevailing pressure and wind fields on scales ranging from tornadoes to extratropical cyclones; also the associated weather and the like. (Source: MGH),,The physical world,Person/Thing,
859,STOVE,"A chamber within which a fuel-air mixture is burned to provide heat, the heat itself being radiated outward from the chamber; used for space heating, process-fluid heating, and steel blast furnaces.",,The house,Person/Thing,
860,CAUSE,That which brings about any condition or produces any effect.,,Cognition,Person/Thing,
861,JUDGE,A person who decides the fate of someone or something that has been called into question.,,Law,Person/Thing,
862,SUGAR,"A sweet crystalline or powdered substance, white when pure, consisting of sucrose obtained mainly from sugar cane and sugar beets and used in many foods, drinks, and medicines to improve their taste.",,Food and drink,Person/Thing,
863,EDGE,The boundary of a surface.,,Spatial relations,Person/Thing,
864,PUMPKIN,"A squash fruit of the Cucurbita genus, most commonly orange in colour when ripe and traditionally used during Halloween.",,Agriculture and vegetation,Person/Thing,
865,FAME,The state or quality of having a positive reputation.,,Social and political relations,Person/Thing,
866,WIN,To achieve a victory.,,Social and political relations,Action/Process,
867,GLOVE,"A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.",,Clothing and grooming,Person/Thing,
868,BANANA,The fruit of the banana tree.,,Agriculture and vegetation,Person/Thing,
869,BLADE,"The flat, sharp-edged part of a tool.",,Warfare and hunting,Person/Thing,
870,BREATH,The air inhaled and exhaled through the lungs.,,The body,Person/Thing,
871,RATTLESNAKE,"Poisonous snake of the genus Crotalus, known by the rattling tail.",,Animals,Person/Thing,
872,TAR,"A viscous material composed of complex, high-molecular-weight, compounds derived from the distillation of petroleum or the destructive distillation of wood or coal.",,The physical world,Person/Thing,664
873,TAX,"An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.",,Possession,Person/Thing,
874,CANDY,Food item that is rich in sugar.,,Modern world,Person/Thing,
875,SHOEMAKER,A person whose profession is making and repairing footwear.,,Clothing and grooming,Person/Thing,
876,ARCH,"An arch-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.",,The house,Person/Thing,
877,MASON,A craftsman who builds in stone or brick otherwise known as masonry.,,The house,Person/Thing,
878,HELL,"In various religions, the place where sinners are said to go after death.",,Religion and belief,Person/Thing,
879,COUGH,"To force air from the lungs out the mouth, sometimes involuntarily, accompanied by a rough sound.",,The body,Action/Process,
880,REPEAT,To do something again.,,Speech and language,Action/Process,
881,TAILOR,Someone who professionally manufactures clothing.,,Clothing and grooming,Person/Thing,
882,PARROT,"Any bird of the order Psittaciformes, many species of which are colourful and able to mimic human speech.",,Animals,Person/Thing,
883,TERMITE,"A soft-bodied insect of the order Isoptera; individuals feed on cellulose and live in colonies with a caste system comprising three types of functional individuals: sterile workers and soldiers, and the reproductives.",,Animals,Person/Thing,
884,SHARE,To give part of what one has to somebody else to use or consume.,,Possession,Action/Process,
885,OPPOSITE,The contrary; being opposed to something.,,Miscellaneous function words,Property,
886,PARAKEET,Any of several slender species of parrot.,,Animals,Person/Thing,
887,BITTER,Having an acrid taste.,,Sense perception,Property,
888,POISONOUS,That acts like a poison.,,The body,Property,
889,FLAME,"A bright yellow, red or bluish light which emerges during combustion processes.",,The physical world,Person/Thing,
890,MULE,The offspring of a male donkey and a female horse.,,Animals,Person/Thing,
891,TIDE,"The periodic rise and fall of the water resulting from gravitational interaction between the sun, moon and earth.",,The physical world,Person/Thing,
892,TIME,"The dimension of the physical universe which, at a given place, orders the sequence of events.",,Time,Person/Thing,
893,TIN (METAL),"A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.",,Basic actions and technology,Person/Thing,
894,TOAD,"Any anuran amphibian of the family Bufonidae, such as Bufo bufo of Europe. They are similar to frogs but are more terrestrial, having a drier warty skin.",,Animals,Person/Thing,
895,TORTOISE,"Any herbivorous terrestrial chelonian reptile of the family Testudinidae, of most warm regions, having a heavy dome-shaped shell and clawed limbs.",,Animals,Person/Thing,
896,ANACONDA (WATER BOA),"Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.",,Animals,Person/Thing,
897,SWALLOW,"The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis.",,Food and drink,Action/Process,
898,TRADE,"The act or the business of buying and selling for money. Mercantile or commercial business in general or the buying and selling, or exchanging, of commodities, either by wholesale or retail within a country or between countries. (Source: WESTS)",,Possession,Action/Process,
899,PRESIDENT,"The title of one who presides over an organisation, company, trade union, university, country, etc.",,Modern world,Person/Thing,
900,TRAIN,"A self-propelled, connected group of vehicles moving on rails.",,Modern world,Person/Thing,
901,ADOBE,An unburnt brick dried in the sun made of clay and dried grasses.,,The house,Person/Thing,
902,ADULTERY,Sex by a married person with someone other than their spouse.,,Law,Person/Thing,
903,ASPEN,A kind of poplar tree (genus Populus; section Populus).,,Agriculture and vegetation,Person/Thing,
904,BERRY,A soft fruit which develops from a superior ovary and contains seeds not encased in pits.,,Food and drink,Person/Thing,
905,BORING,Causing boredom.,,Emotions and values,Property,
906,TREE,Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.,,Agriculture and vegetation,Person/Thing,
907,OLD WOMAN,An old woman.,,Kinship,Person/Thing,
908,DRUM,A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.,,Speech and language,Person/Thing,
909,GARBAGE,"Unwanted or undesired material, usually discarded.",,Modern world,Person/Thing,
910,DEATH,The end of life.,,The body,Person/Thing,
911,TEMPLE,A house of worship and spiritual activities.,,Religion and belief,Person/Thing,
912,COYOTE,(Canis latrans) A member of the Canidae family native to North America.,,Animals,Person/Thing,
913,CROW,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.",,Animals,Person/Thing,
914,SCULPTOR,A person who practices the art of sculpture.,,Basic actions and technology,Person/Thing,
915,SINK (BASIN),"A bowl for washing hands, dishwashing or other purposes, often affixed to a wall.",,Modern world,Person/Thing,
916,LINEN,A material made from the fibers of the flax plant.,,Clothing and grooming,Person/Thing,
917,ORNAMENT,An element of decoration.,,Clothing and grooming,Person/Thing,
918,INCLINATION,A likelihood of behaving in a particular way or going in a particular direction.,,Emotions and values,Person/Thing,
919,CHILI PEPPER,"Any fruit of a plant of the botanical genus Capsicum, noted for their spicy and burning flavour due to presence of capsaicin.",,Food and drink,Person/Thing,
920,GRAPE,"A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.",,Food and drink,Person/Thing,
921,VALLEY,"Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.",,The physical world,Person/Thing,
922,PEAR,A fruit produced by the pear tree.,,Agriculture and vegetation,Person/Thing,
923,LOVE,To have an intense feeling of affection and care towards another person.,,Emotions and values,Action/Process,
924,VEGETABLES,Any of various herbaceous plants having parts that are used as food.,,Food and drink,Person/Thing,
925,CASSAVA,Shrub (Manihot esculenta) whose roots are rich in starch.,,Agriculture and vegetation,Person/Thing,
926,RICE,Seeds of the rice plant (Oryza sativa) used as food.,,Agriculture and vegetation,Person/Thing,
927,MANIOC,Shrub (Manihot esculenta) whose roots are rich in starch.,,Agriculture and vegetation,Person/Thing,925
928,EMBRACE,To squeeze someone in one's arms.,,Emotions and values,Action/Process,
929,VERMIN,Small animals and insects that can be harmful and which are difficult to control when they appear in large numbers. (Source: CAMB),,Animals,Person/Thing,
930,VILLAGE,"A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.",,Social and political relations,Person/Thing,
931,MILLET,"A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.",,Agriculture and vegetation,Person/Thing,
932,BARLEY,"A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.",,Agriculture and vegetation,Person/Thing,
933,WALL (OF HOUSE),The outer structure which encloses a building.,,The house,Person/Thing,
934,BUFFALO,"A wild heavy bison of the species Bison bison, having a broad massive horned head.",,Animals,Person/Thing,
935,WAR,"A conflict or a state of hostility between two or more parties, nations or states, in which armed forces or military operations are used.",,Warfare and hunting,Person/Thing,
936,STALLION,An uncastrated male horse.,,Animals,Person/Thing,
937,BIRD,"Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.",,Animals,Person/Thing,
938,MARE,An adult female horse.,,Animals,Person/Thing,
939,HORN (INSTRUMENT),A wind instrument made of a wound copper tube with a wide sound bucket and valves.,,Speech and language,Person/Thing,
940,STRAIN,To separate or isolate components from a liquid with the help of a filter.,,Food and drink,Action/Process,
941,MEAD,Wine made of honey.,,Food and drink,Person/Thing,
942,HONEY,"A viscous, sweet substance produced from nectar or honeydew by bees.",,Food and drink,Person/Thing,
943,WATERFALL,A perpendicular or steep descent of the water of a stream.,,The physical world,Person/Thing,
944,SALMON,One of several species of fish of the Salmonidae family.,,Animals,Person/Thing,
945,SPEAR,"a long, stabbing weapon for thrusting or throwing, consisting of a wooden shaft to which a sharp-pointed head, as of iron or steel, is attached.",,Warfare and hunting,Person/Thing,
946,BLOOD,A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.,,The body,Person/Thing,
947,STREAM,A small river or large creek; a body of moving water confined by banks.,,The physical world,Person/Thing,
